SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
529e2bf495a06,Terror Tuesdays! Save 25% when you spend $75 on Halloween,0,7.46,Target.com,Flex_Offers,12/8/2014,438937558
52ab7c63df69a,Homepage,22.49,2.7,Body Glove Mobile,Flex_Offers,12/8/2014,438938812
546f47ae8db5e,Shop new Men's Coats & Jackets from Topman and more at NORDSTROM.,119.95,19.19,NORDSTROM.com,Flex_Offers,12/8/2014,438967134
5481f47886329,BBY Logo,129.99,5.2,"Best Buy Co, Inc.",Flex_Offers,12/8/2014,438977744
546e35b1509ce,TT0C5SG,,7.01,Old Navy,Commission_Junciton,12/8/2014,1793046333
52ab7c63df69a,156118,,6.48,DealYard.com,Commission_Junciton,12/8/2014,1793373945
545bc2eed2b88,757559104,,6.1,GoDaddy.com,Commission_Junciton,12/8/2014,1786378028
547d0b91982ff,51244606,,4.5,Bass Pro Shops,Commission_Junciton,12/8/2014,1796527088
5483f7727358c,TSR4F2G,,4.2,Gap,Commission_Junciton,12/8/2014,1798605345
529e2bf495a06,2761333,,4,GiftCardMall.com,Commission_Junciton,12/8/2014,1794976803
546e35b1509ce,TSRRM1X,,3.28,Banana Republic,Commission_Junciton,12/8/2014,1796543238
546e35b1509ce,TSR9WKL,,2.14,Gap,Commission_Junciton,12/8/2014,1798278659
