SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
54383736dc1fb,Order No:379060,67.5,2.03,macys.com,link_share,8/5/2014,M1000266244
543838ec6ebb0,Order No:681895,-90,-2.7,macys.com,link_share,8/6/2014,M1000884081
54383967ac0b7,Order No:914741,29.99,0.9,macys.com,link_share,8/7/2014,M1000884081
5438399f6e363,Order No:914741,-29.99,-0.9,macys.com,link_share,8/8/2014,M1000884081
54383a141e5f2,Order No:681895,90,2.7,macys.com,link_share,8/9/2014,M1000884081
54380b0a55d94,Order No:1121976,11.24,0.34,macys.com,link_share,8/10/2014,M1002191223
54380b0a55d94,Order No:815217,96,2.88,macys.com,link_share,8/11/2014,M1002191223
543817aa655a8,Order No:1121978,11.24,0.34,macys.com,link_share,8/12/2014,M1002191223
543836c498f6e,Order No:1029799,52.13,1.56,macys.com,link_share,8/13/2014,M1002191223
543836c498f6e,Order No:1155481,22.13,0.66,macys.com,link_share,8/14/2014,M1002191223
54383a141e5f2,Order No:1212000,43.5,1.31,macys.com,link_share,8/15/2014,M1002191223
5438399f6e363,"Cisco 2500 Series 19"" Rack Mount Kit, ACS-2500RM-19",6.95,0.28,Third Party,Amazon,8/16/2014,B00CLX63ZU
54380b0a55d94,Thor THPS-1000-12 1000 Watt Pure Sine Wave Power Inverter 2000 Watt Surge,1999.75,160,Third Party,Amazon,8/17/2014,B009CBA25Q
543836c498f6e,APC AP8706S 1.8m C13 to C14 Power Cord Kit (6 EA),427.96,17.12,Third Party,Amazon,8/18/2014,B003YSYQNM
5438399f6e363,APC AP8702S 0.6m C13 to C14 Power Cord Kit (6 EA),215.96,8.64,Third Party,Amazon,8/19/2014,B003YT2FJ8
5438399f6e363,"Electrostand iPad Stand for the iPad 1, 2, 3",99.98,4,Third Party,Amazon,8/20/2014,B005GAPGSU
543c34fd0ca89,"Electrostand iPad Stand for the iPad 1, 2, 3",99.98,4,Third Party,Amazon,8/21/2014,B005GAPGSU
543839dd66592,"Intel Ethernet Converged Network Adapter, X540T2",4244.2,169.8,Third Party,Amazon,8/22/2014,B0077CS9UM
543836c498f6e,Intel S3500 Series 120GB SSD USB Portable Drives,6177.6,247.26,Third Party,Amazon,8/23/2014,B00CT98DBI
54383a141e5f2,Fotodiox 5'x7' Collapsible Chromakey Green + Blue 2-in-1 Background Panel and Support Stand,109.52,4.38,Amazon.com,Amazon,8/24/2014,B003Y2KSC6
543817aa655a8,NORDSTROM,49.5,6.74,NORDSTROM.com,flex_offers,8/25/2014,434584356
5438399f6e363,NORDSTROM,49.5,6.74,NORDSTROM.com,flex_offers,8/26/2014,434584357
5438399f6e363,NORDSTROM,49.5,6.74,NORDSTROM.com,flex_offers,8/27/2014,434584358
5438399f6e363,NORDSTROM,98,13.33,NORDSTROM.com,flex_offers,8/28/2014,434584361
5438399f6e363,NORDSTROM,65,8.84,NORDSTROM.com,flex_offers,8/29/2014,434584362
54383a141e5f2,NORDSTROM,49.5,6.74,NORDSTROM.com,flex_offers,8/30/2014,434584359
54383a141e5f2,NORDSTROM,69.5,9.46,NORDSTROM.com,flex_offers,8/31/2014,434584360
543c2a19ea971,GAP,65,8.84,GAP,flex_offers,9/1/2014,434584362
5438399f6e363,Order No:F306372070,,2.6,Free People,commission_junction,9/2/2014,404612107
54380b0a55d94,Armani Code by Giorgio Armani For Men. Eau De Toilette Spray 1-Ounce,35.03,2.45,Amazon.com,Amazon,9/3/2014,B001FWXGYY
543817aa655a8,"Logitech HD Pro Webcam C920, 1080p Widescreen Video Calling and Recording",69.99,2.8,Amazon.com,Amazon,9/4/2014,B006JH8T3S
543836c498f6e,Polycom Soundstation 2W (2200-07800-001),499.99,20,Third Party,Amazon,9/5/2014,B000RJ23RM
5438399f6e363,SquareTrade 2-Year PC Peripherals Protection Plan ($50-$75),5.05,0.2,Third Party,Amazon,9/6/2014,B008I647AM
5438399f6e363,TaylorMade Penta TP3 Golf Balls (12 Pack),69.96,4.9,Third Party,Amazon,9/7/2014,B006T0NG9W
5438399f6e363,NORDSTROM,110,14.96,NORDSTROM.com,flex_offers,9/8/2014,434891710
54383a141e5f2,NORDSTROM,88,11.97,NORDSTROM.com,flex_offers,9/9/2014,434891711
543c2dfa3f50c,Macys.com,110,14.96,Macys.com,flex_offers,9/10/2014,434891710
543c347c6ee0d,Target.com,88,11.97,Target.com,flex_offers,9/11/2014,434891711
543839dd66592,Garmin Approach S2 GPS Golf Watch with Worldwide Courses (Black),245.98,9.84,Amazon.com,Amazon,9/12/2014,B00B555ASQ
543839dd66592,Fallout 3: Game of The Year Edition (Xbox 360),14.99,1.05,Amazon.com,Amazon,9/13/2014,B001REZLY8
54383a141e5f2,Fallout: New Vegas Ultimate Edition - Xbox 360,19.96,1.4,Amazon.com,Amazon,9/14/2014,B0065NP6NC
543c2f2915be9,Fallout: New Vegas Ultimate Edition - Xbox 360,19.96,1.4,Amazon.com,Amazon,9/15/2014,B0065NP6NC
543c34fd0ca89,Fallout 3: Game of The Year Edition (Xbox 360),14.99,1.05,Amazon.com,Amazon,9/16/2014,B001REZLY8
543c3564bad55,Garmin Approach S2 GPS Golf Watch with Worldwide Courses (Black),245.98,9.84,Amazon.com,Amazon,9/17/2014,B00B555ASQ
543839dd66592,Logitech LS11 Multimedia Speaker System (Black and Silver) (980-000048),199.9,8,Third Party,Amazon,9/18/2014,B0015BYQJE
54383a141e5f2,"Anker® 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600DPI, 5 Buttons - Black",23.99,0.96,Third Party,Amazon,9/19/2014,B00BIFNTMC
54380b0a55d94,NORDSTROM,80,12.8,NORDSTROM.com,flex_offers,9/20/2014,434969254
543c34fd0ca89,LEGO,80,12.8,LEGO,flex_offers,9/21/2014,434969254
54383967ac0b7,Order No:154469-627919051-S,120,7.2,Hanky Panky,pepper_jam,9/22/2014,27144958
5438399f6e363,Order No:5063579294,,2.92,Walgreens,commission_junction,9/23/2014,404451132
5438399f6e363,"20"" Extendable Metal Back Scratcher Portable Travel Size",11.9,0.84,Third Party,Amazon,9/24/2014,B001JP8XQ8
5438399f6e363,Srixon Golf- Trispeed Golf Balls (1-Dozen),29.99,2.1,Third Party,Amazon,9/25/2014,B004BA9RYA
543817aa655a8,NORDSTROM,-69.5,-9.46,NORDSTROM.com,flex_offers,9/26/2014,435027104
5438399f6e363,NORDSTROM,-65,-8.84,NORDSTROM.com,flex_offers,9/27/2014,435027105
543c2f2915be9,TOYS4US,-69.5,-9.46,TOYS4US,flex_offers,9/28/2014,435027104
543c3564bad55,WINETASTING,-65,-8.84,WINETASTING,flex_offers,9/29/2014,435027105
5438399f6e363,Prism Backdrops 10X20' White Muslin Photo Video Backdrop Background,41.69,1.67,Third Party,Amazon,9/30/2014,B001C6SYR2
5438399f6e363,6PK PWR CORD KIT LOCKING C13 TO C14 1.2M,285.56,11.44,Third Party,Amazon,10/1/2014,B00DG6VWRA
54383a141e5f2,"Florsheim Men's Big-Tall Smooth Leather Belt 32MM, Black, 46",29.99,2.1,Amazon.com,Amazon,10/2/2014,B00BXEF8WM
54383a141e5f2,"Kindle Fire HD 8.9"" Tablet, 16 GB B008GW0JC8",259.99,10.4,Third Party,Amazon,10/3/2014,B00BGYO34I
54383967ac0b7,Minisuit Bluetooth Keyboard Stand Case for Google Nexus 7 (1st Gen 2012) Rubberized Back,74.85,3,Third Party,Amazon,10/4/2014,B009WSCW4S
5438399f6e363,Intel S3500 Series 120GB SSD USB Portable Drives,5702.4,228.24,Third Party,Amazon,10/5/2014,B00CT98DBI
543836c498f6e,True Nation Big & Tall Relaxed-Fit Jeans,59.5,4.17,Third Party,Amazon,10/6/2014,B005011B1G
54383a141e5f2,Samsung Galaxy S IV/S4 GT-I9500 Factory Unlocked Phone - International Version (White),539.95,21.6,Third Party,Amazon,10/7/2014,B00BV1MVJ0
54383a141e5f2,"Duracell Coppertop C Alkaline Batteries, 8 Count",14.49,1.01,Third Party,Amazon,10/8/2014,B000FD6RTA
543836c498f6e,"Samsung CLT-P409A Value Pack - Cyan, Magenta, Yellow 1 Each for CLP-315, CLP-315W, CLX-3175FN, CLX-3175FW",112.61,4.5,Amazon.com,Amazon,10/9/2014,B001ULD870
5438399f6e363,"Graco Pack N Play Sheet, Tarragon",17.98,1.26,Amazon.com,Amazon,10/10/2014,B005KBYD0C
5438399f6e363,Tweezerman No-Slip Skin Care Tool,11,0.77,Third Party,Amazon,10/11/2014,B000WHYATS
54383a141e5f2,Tweezerman LTD Mini Slant Tweezer (Colors May Vary),23.02,1.62,Amazon.com,Amazon,8/5/2014,B00AAJOZN4
5438399f6e363,Conair BE4NW Classique Double-Sided Lighted Makeup Mirror with 5x Magnification,22.98,1.61,Amazon.com,Amazon,8/6/2014,B00005A443
5438399f6e363,InterDesign Med+ 12,8.99,0.63,Amazon.com,Amazon,8/7/2014,B0038O2XYQ
5438399f6e363,Madden NFL 25 - Playstation 3,39.99,2.8,Amazon.com,Amazon,8/8/2014,B00AY1CT3G
5438399f6e363,Skylanders SWAP Force - Nintendo Wii,69.94,4.9,Third Party,Amazon,8/9/2014,B00D6NPFDK
543839dd66592,Altec Lansing BXR1220 2-Piece Desktop Speaker System,89.94,3.6,Third Party,Amazon,8/10/2014,B0025VKUPW
543c2a19ea971,Skylanders SWAP Force - Nintendo Wii,69.94,4.9,Third Party,Amazon,8/11/2014,B00D6NPFDK
543c36116b3c1,Madden NFL 25 - Playstation 3,39.99,2.8,Amazon.com,Amazon,8/12/2014,B00AY1CT3G
54383967ac0b7,"Dream On Me 3"" Playard Mattress, White",30,2.1,Amazon.com,Amazon,8/13/2014,B004JU0H6O
54383967ac0b7,Star Wars: Frames,94.88,6.64,Amazon.com,Amazon,8/14/2014,1419704702
5438399f6e363,Casey Kasem Presents: America's Top 10 Through the Years - The 1960s,13.87,0.97,Amazon.com,Amazon,8/15/2014,B00005B52P
5438399f6e363,Casey Kasem Presents: America's Top 10 Through the Years - The 1950s,15.96,1.12,Amazon.com,Amazon,8/16/2014,B00005B52O
543c2dfa3f50c,Casey Kasem Presents: America's Top 10 Through the Years - The 1960s,13.87,0.97,Amazon.com,Amazon,8/17/2014,B00005B52P
543c347c6ee0d,Casey Kasem Presents: America's Top 10 Through the Years - The 1950s,15.96,1.12,Amazon.com,Amazon,8/18/2014,B00005B52O
5438399f6e363,"Skylanders SWAP Force Triple Character Pack: Lava Barf Eruptor, Slobber Tooth, Super Gulp Pop Fizz",33.71,2.36,Third Party,Amazon,8/19/2014,B00F2WNMGU
54383a141e5f2,Headset Headphones + Noise-canceling Microphone + Quick Disconnect + Voice Tube for Cisco Ip Telephone 7931 7940 7960 7970 7962 7975 7961 7971 7960 M1,149.75,6,Third Party,Amazon,8/20/2014,B00CXB5B1M
543c3564bad55,"Skylanders SWAP Force Triple Character Pack: Lava Barf Eruptor, Slobber Tooth, Super Gulp Pop Fizz",33.71,2.36,Third Party,Amazon,8/21/2014,B00F2WNMGU
543c3564bad55,Headset Headphones + Noise-canceling Microphone + Quick Disconnect + Voice Tube for Cisco Ip Telephone 7931 7940 7960 7970 7962 7975 7961 7971 7960 M1,149.75,6,Third Party,Amazon,8/22/2014,B00CXB5B1M
5438399f6e363,"Graco Pack 'N Play Playard with Reversible Napper and Changer, Roman",94.84,6.64,Amazon.com,Amazon,8/23/2014,B005UV0UCM
5438399f6e363,"Mount-It! Adjustable Tilting Single Desk Mount Bracket for LCD LED (Max 33lbs, 13-23 Inches) - Black",35.99,1.44,Third Party,Amazon,8/24/2014,B005C29QN8
5438399f6e363,"Google Nexus 10 (Wi-Fi only, 32 GB)",2174.95,87,Third Party,Amazon,8/25/2014,B00ACVI202
543836c498f6e,"Black 3 1/2"" X 2 1/4"" Vertical Open-face Rigid Plastic ID Card Holder (P/N 1840-8161)",23.4,0.9,Third Party,Amazon,8/26/2014,B008VSM3YO
543c36116b3c1,"Black 3 1/2"" X 2 1/4"" Vertical Open-face Rigid Plastic ID Card Holder (P/N 1840-8161)",23.4,0.9,Third Party,Amazon,8/27/2014,B008VSM3YO
5438399f6e363,"60"" Portable Mini Hd LED Projector Cinema Theater, Support PC Laptop VGA Input and SD + USB + AV Input",62.6,2.5,Third Party,Amazon,8/28/2014,B00A8ER7NG
54383a141e5f2,"World Wall Map Deluxe Laminated 50"" x 32"" (M Series Map of the World) Map Edition by Mcnally, Rand [2010]",50.85,3.57,Third Party,Amazon,8/29/2014,B00BXU7504
5438399f6e363,SquareTrade 2-year Office Protection Plan ($300-$350),30.91,1.24,Third Party,Amazon,8/30/2014,B008I63BN6
543c36116b3c1,SquareTrade 2-year Office Protection Plan ($300-$350),30.91,1.24,Third Party,Amazon,8/31/2014,B008I63BN6
5438399f6e363,Lithium Button Cell Battery CR2450 5-Pack,31.92,2.24,Third Party,Amazon,9/1/2014,B000V04MCQ
54383a141e5f2,Garmin Approach S2 GPS Golf Watch with Worldwide Courses (Black),-245.98,-9.84,Amazon.com,Amazon,9/2/2014,B00B555ASQ
543c36116b3c1,Garmin Approach S2 GPS Golf Watch with Worldwide Courses (Black),-245.98,-9.84,Amazon.com,Amazon,9/3/2014,B00B555ASQ
543838ec6ebb0,Order No:REG123456,0,0.25,BeyondtheRack.com,link_share,9/4/2014,536279fa56094
54383967ac0b7,Order No:684770_1,84.95,1.7,NORDSTROM.com,link_share,9/5/2014,2.01E+23
5438399f6e363,Stanley 33-425 Powerlock 25-Foot by 1-Inch Measuring Tape - Original,8.99,0.63,Amazon.com,Amazon,9/6/2014,B00002X2GQ
543817aa655a8,Worldwide Scanner AC Adapter For Fujitsu Pa03420-k808 Power Supply Cord Charger,33.99,1.36,Third Party,Amazon,9/7/2014,B00AI184VS
543839dd66592,Jawbone BIG JAMBOX Carrying Case - Retail Packaging (Black),290.08,11.6,Third Party,Amazon,9/8/2014,B0091DQ8CG
54380b0a55d94,(5 PACK) USB Sync/Charging Cable (3 ft) for Apple iPhones & iPods,6.76,0.28,Third Party,Amazon,9/9/2014,B009CJYUFG
54380b0a55d94,Xbox One Console,469.99,18.8,Third Party,Amazon,9/10/2014,B00CMQTVUA
543817aa655a8,"5x 10ft White Lighting Iphone 5 Extra Long Lightning USB Sync Cable Cord Charger for Apple Iphone 5, Ipod Nano 7, Ipod Touch 5, Ipad 4, Ipad with Reti",7.2,0.29,Third Party,Amazon,9/11/2014,B00CXADNEK
543817aa655a8,Xbox One Console,499,19.96,Amazon.com,Amazon,9/12/2014,B00CMQTVUA
54383a141e5f2,"Google Nexus 10 (Wi-Fi only, 32 GB)",2124.95,85,Third Party,Amazon,9/13/2014,B00ACVI202
543c347c6ee0d,Xbox One Console,469.99,18.8,Third Party,Amazon,9/14/2014,B00CMQTVUA
5438399f6e363,JETech® Gold Slim-Fit Folio Smart Case Cover with Back Case for Apple the New iPad 4 & 3 (3rd and 4th Generation with Retina Display) / iPad 2 (Black,19.98,0.8,Third Party,Amazon,9/15/2014,B00CZ6D248
543817aa655a8,"Google Nexus 10 (Wi-Fi only, 16 GB)",365.5,14.62,Third Party,Amazon,9/16/2014,B00ACVHKSC
54383a141e5f2,Breville BKE820XL Variable-Temperature 1.8-Liter Kettle,129.95,9.1,Amazon.com,Amazon,9/17/2014,B001DYERBK
54383967ac0b7,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",13.95,0.98,Third Party,Amazon,9/18/2014,470876417
54383967ac0b7,"BATTERY, ENERGIZER MAX, AA 16 PK.-E91BP16F4ENE",29.86,1.2,Third Party,Amazon,9/19/2014,B0057A02C4
5438399f6e363,"Duracell® Ultra High Power Lithium Battery, 245, 6V",29.9,1.2,Third Party,Amazon,9/20/2014,B002XJX9DQ
5438399f6e363,"Energizer Max D Batteries, 4-Count",20.98,1.46,Third Party,Amazon,9/21/2014,B0044DA3O2
5438399f6e363,"12 Pk, AAA Energizer Max Battery",25.8,1.8,Third Party,Amazon,9/22/2014,B00008XPN0
5438399f6e363,Sloan Valve EBV-1020-A Inside Parts Assembly Closet,68.78,4.82,Third Party,Amazon,9/23/2014,B000NIGETA
543839dd66592,Management Reset: Organizing for Sustainable Effectiveness,8.73,0.61,Third Party,Amazon,9/24/2014,470637986
543839dd66592,Six Energizer AAAA Alkaline Batteries for Streamlight Stylus Lights,5.85,0.41,Third Party,Amazon,9/25/2014,B001GB3ZPE
543c2dfa3f50c,"BATTERY, ENERGIZER MAX, AA 16 PK.-E91BP16F4ENE",29.86,1.2,Third Party,Amazon,9/26/2014,B0057A02C4
5438399f6e363,Brady B33-17-424 General Purpose Paper,20.48,1.64,Amazon.com,Amazon,9/27/2014,B009NJYLUO
54383a141e5f2,"Brady B30-R4300 200' Length x 4.33"" Width, Black BBP31 Heavy-Duty Ribbon",166.29,13.29,Amazon.com,Amazon,9/28/2014,B0058VA72W
5438399f6e363,Foscam FI9826W Megapixel HD 1280 x 960p H.264 Wireless/Wired Pan/Tilt IP Camera with 3x Optical Zoom - 26ft Night Vision and 2.8mm Lens - Black,249.99,10,Third Party,Amazon,9/29/2014,B00HJYQE8C
5438399f6e363,"Velcro Reusable Self-Gripping Cable Ties, 0.5 Inches x 8 Inches Long, Black, 100 Ties per Pack (91140)",872.5,35,Amazon.com,Amazon,9/30/2014,B001E1Y5O6
543c2a19ea971,"Velcro Reusable Self-Gripping Cable Ties, 0.5 Inches x 8 Inches Long, Black, 100 Ties per Pack (91140)",872.5,35,Amazon.com,Amazon,10/1/2014,B001E1Y5O6
5438399f6e363,Sony 32GB SDHC Class 10 UHS-1 R40 Memory Card (SF32UY/TQMN),18.99,0.76,Amazon.com,Amazon,10/2/2014,B00B7ID99I
5438399f6e363,"Old Friend Women's 441169 Scuff Sheepskin Slipper,Dark Brown,X-Large (9.5-10.5 M)",46.91,3.28,Third Party,Amazon,10/3/2014,B002ACPLGO
54380b0a55d94,"Florsheim Men's Big-Tall Smooth Leather Belt 32MM, Black, 48",29.99,2.1,Amazon.com,Amazon,10/4/2014,B00BXEF8WC
54380b0a55d94,StarTech.com MDP2HDS Mini DisplayPort Male to HDMI Female Active Adapter Audio Converter 1920x1200,28.21,1.13,Amazon.com,Amazon,10/5/2014,B009YCE11E
5438399f6e363,AmazonBasics USB A to Lightning Compatible Cable - Apple Certified - Black (6 Feet/1.8 Meter),74.95,3,Amazon.com,Amazon,10/6/2014,B00B3OA7R8
54383a141e5f2,Surface Mini DisplayPort HD AV (HDMI) Adapter for Surface Pro 64GB/128GB,43.49,1.74,Third Party,Amazon,10/7/2014,B00CF3HJS6
5438399f6e363,Seagate Barracuda 7200 1.5 TB 7200RPM SATA 3Gb/s 32MB Cache 3.5 Inch Internal Hard Drive ST31500341AS-Bare Drive,98.5,3.94,Third Party,Amazon,10/8/2014,B00066IJPQ
543817aa655a8,"New-CARL 62100 - 100-Sheet Heavy-Duty XHC-2100 Two-Hole Punch, 9/32 Diameter Hole, Blue/Gray - CUI62100",277.95,11.13,Third Party,Amazon,10/9/2014,B004QDJSEG
543836c498f6e,Twelve South PlugBug World - All-in-one MacBook global adapter with 2.1 amp iPhone/iPad charger,37.6,1.5,Amazon.com,Amazon,10/10/2014,B009ZT2CE4
5438399f6e363,Brady B33-17-424 General Purpose Paper,61.44,4.92,Amazon.com,Amazon,10/11/2014,B009NJYLUO
5438399f6e363,"Brady B30-R4300 200' Length x 4.33"" Width, Black BBP31 Heavy-Duty Ribbon",113.4,9.08,Amazon.com,Amazon,8/5/2014,B0058VA72W
543839dd66592,I-Rocks Black USB RF Wireless Mini Keyboard (RF-6490-BK),25.3,1.01,Amazon.com,Amazon,8/6/2014,B007B5OXB4
543839dd66592,Brady B33-17-424 General Purpose Paper,20.48,1.64,Amazon.com,Amazon,8/7/2014,B009NJYLUO
5438399f6e363,Yamaha Projectphone PJP-20UR Conference Microphone Speakerphone,1745,69.8,Third Party,Amazon,8/8/2014,B0046CNZ6O
5438399f6e363,Samsung 4GB DDR3 PC3-12800 1600MHz 204-Pin SODIMM Laptop Memory Module RAM. Model M471B5273DH0-CK0,38,1.52,Third Party,Amazon,8/9/2014,B009AEYBYI
54383a141e5f2,"MoKo Apple iPad Air Case - Portfolio Wireless Bluetooth Keyboard Case for iPad Air (5th Gen) Tablet, BLACK (With Smart Cover Auto Wake / Sleep)",29.99,1.2,Third Party,Amazon,8/10/2014,B00FIZXZOA
54383a141e5f2,Linksys E3200 High-Performance Simultaneous Dual-Band Wireless-N Router,399.96,16,Third Party,Amazon,8/11/2014,B004T9RR7C
5438399f6e363,RENTAL,76,0.76,"Dollar Rent-a-Car, Inc.",link_share,8/12/2014,L0484119
543817aa655a8,Order No:330093_3,39.5,1.98,NORDSTROM.com,link_share,8/13/2014,2.01E+23
543836c498f6e,Order No:330097_1,79,3.95,NORDSTROM.com,link_share,8/14/2014,2.01E+23
543838ec6ebb0,Order No:539811,39.5,1.98,NORDSTROM.com,link_share,8/15/2014,2.01E+23
54383967ac0b7,Order No:590891,35,5.25,NORDSTROM.com,link_share,8/16/2014,2.01E+23
5438399f6e363,Order No:391317_2,39.5,1.98,NORDSTROM.com,link_share,8/17/2014,2.01E+23
54383a141e5f2,Order No:978264,35,5.25,NORDSTROM.com,link_share,8/18/2014,2.01E+23
5438399f6e363,Maxell Micro Cassettes (Pack of 3),35.96,1.44,Third Party,Amazon,8/19/2014,B00007J6J8
543839dd66592,Zebra 800017-248 iSeries YMCKOK Color Ribbon - Replacing 800015-948,103.66,4.14,Third Party,Amazon,8/20/2014,B00BNIA77Y
54383a141e5f2,Xbox 360 4GB,182,1.82,Third Party,Amazon,8/21/2014,B00D9EPI38
543c2dfa3f50c,Xbox 360 4GB,182,1.82,Third Party,Amazon,8/22/2014,B00D9EPI38
543836c498f6e,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",489.7,31.85,Third Party,Amazon,8/23/2014,B00BGO0Q9O
5438399f6e363,"Fitbit Flex Wireless Activity + Sleep Wristband, Black",491.85,31.95,Amazon.com,Amazon,8/24/2014,B00BGO0Q9O
543838ec6ebb0,Summer Infant Contoured Changing Pad Amazon Frustration Free Packaging,20.37,1.32,Amazon.com,Amazon,8/25/2014,B009EDSWJA
54383967ac0b7,"American Baby Company 100% Cotton Value Jersey Knit Fitted Portable/Mini Sheet, Celery",13.98,0.9,Amazon.com,Amazon,8/26/2014,B000O7SR18
54383967ac0b7,Floto Monticello Rolling Brief - Italian Leather Roller Bag,629,40.89,Third Party,Amazon,8/27/2014,B00B1UNZSM
543839dd66592,"Carters Quilted Woven Playard Fitted Sheet, Monkey",12.74,0.83,Amazon.com,Amazon,8/28/2014,B002UD65R2
54383a141e5f2,"Carters Super Soft Dot Changing Pad Cover, Chocolate",13.49,0.88,Amazon.com,Amazon,8/29/2014,B002UD65X6
5438399f6e363,Male DVI-D to Female VGA Adapter (DVI 24+1 Pin),11.3,0.45,Third Party,Amazon,8/30/2014,B007EA48MA
54383a141e5f2,I-Rocks Black USB RF Wireless Mini Keyboard (RF-6490-BK),25.3,1.01,Amazon.com,Amazon,8/31/2014,B007B5OXB4
54380b0a55d94,"MoKo Apple iPad Air Case - Portfolio Wireless Bluetooth Keyboard Case for iPad Air (5th Gen) Tablet, BLACK (With Smart Cover Auto Wake / Sleep)",59.98,2.4,Third Party,Amazon,9/1/2014,B00FIZXZOA
