Subtracking,Product Name,Cash back,Merchant Sale Amount,AN,Advertiser Name, Date ,transaction_id
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",28.32,141.6,flex_offers,Go Daddy,7/22/2014,4636359
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",30.45,276.8181818,flex_offers,Go Daddy,7/23/2014,4739717
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",35.93,359.3,flex_offers,Go Daddy,7/24/2014,4843364
545d1bcc440e0,NORDSTROM,39.78,795.6,flex_offers,Go Daddy,7/25/2014,4633590
545d1bcc440e0,NORDSTROM,43.585,435.85,flex_offers,Go Daddy,7/26/2014,4661608
545d1bcc440e0,NORDSTROM,47.571,237.855,flex_offers,Nordstrom,7/27/2014,4610897
545d1bcc440e0,NORDSTROM,51.557,468.7,flex_offers,Nordstrom,7/28/2014,4762508
545d1bcc440e0,NORDSTROM,55.543,555.43,flex_offers,Nordstrom,7/29/2014,4866565
545d1bcc440e0,NORDSTROM,59.529,1190.58,flex_offers,Nordstrom,7/30/2014,4655318
545d1bcc440e0,NORDSTROM,63.515,635.15,flex_offers,Nordstrom,7/31/2014,4804569
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",67.501,337.505,flex_offers,Nordstrom,8/1/2014,4789280
545d1bcc440e0,NORDSTROM,71.487,649.8818182,flex_offers,Nordstrom,8/2/2014,4844059
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,75.473,754.73,flex_offers,Nordstrom,8/3/2014,4704710
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,79.459,1589.18,flex_offers,Nordstrom,8/4/2014,4512802
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,83.445,834.45,flex_offers,FTD,8/5/2014,4959815
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,87.431,437.155,flex_offers,FTD,8/6/2014,4683877
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",91.417,831.0636364,link_share,FTD,8/7/2014,4876984
545d1bcc440e0,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,95.403,954.03,link_share,FTD,8/8/2014,4865206
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,99.389,1987.78,link_share,Foot Locker,8/9/2014,4606533
545d1bcc440e0,Foot Locker Default Link,103.375,1033.75,link_share,Foot Locker,8/10/2014,4571179
545d1bcc440e0,WhiteHouseBlackMarket.com,107.361,536.805,link_share,Foot Locker,8/11/2014,4708132
545d1bcc440e0,Chico's.com,111.347,1012.245455,link_share,Foot Locker,8/12/2014,4693243
545d1bcc440e0,Shop AnnTaylor.com,115.333,1153.33,link_share,Foot Locker,8/13/2014,4569152
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",119.319,2386.38,Amazon,Foot Locker,8/14/2014,4772229
545d1bcc440e0,Shop StarbucksStore.com!,123.305,1233.05,Amazon,Nike,8/15/2014,4847358
545d1bcc440e0,Shop StarbucksStore.com!,127.291,636.455,Amazon,Nike,8/16/2014,4889767
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",131.277,1193.427273,commission_junction,Nike,8/17/2014,4696169
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",135.263,1352.63,commission_junction,Nike,8/18/2014,4987588
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",139.249,2784.98,flex_offers,Go Daddy,8/19/2014,4635552
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",143.235,1432.35,flex_offers,Go Daddy,8/20/2014,4703766
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",147.221,736.105,flex_offers,Go Daddy,8/21/2014,4886347
545d1bcc440e0,NORDSTROM,151.207,1374.609091,flex_offers,Go Daddy,8/22/2014,4674014
545d1bcc440e0,NORDSTROM,155.193,1551.93,flex_offers,Go Daddy,8/23/2014,4535022
545d1bcc440e0,NORDSTROM,159.179,3183.58,flex_offers,Nordstrom,8/24/2014,4648424
545d1bcc440e0,NORDSTROM,163.165,1631.65,flex_offers,Nordstrom,8/25/2014,4836583
545d1bcc440e0,NORDSTROM,167.151,835.755,flex_offers,Nordstrom,8/26/2014,4559495
545d1bcc440e0,NORDSTROM,171.137,1555.790909,flex_offers,Nordstrom,8/27/2014,4751692
545d1bcc440e0,NORDSTROM,175.123,1751.23,flex_offers,Nordstrom,8/28/2014,4826077
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",179.109,3582.18,flex_offers,Nordstrom,8/29/2014,4815109
545d1bcc440e0,NORDSTROM,183.095,1830.95,flex_offers,Nordstrom,8/30/2014,4581921
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,187.081,935.405,flex_offers,Nordstrom,8/31/2014,4990159
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,191.067,1736.972727,flex_offers,Nordstrom,9/1/2014,4696634
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,195.053,1950.53,flex_offers,FTD,9/2/2014,4809086
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,199.039,3980.78,flex_offers,FTD,9/3/2014,4569822
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",203.025,2030.25,link_share,FTD,9/4/2014,4897378
545d1bcc440e0,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,207.011,1035.055,link_share,FTD,9/5/2014,4581194
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,210.997,1918.154545,link_share,Foot Locker,9/6/2014,4509466
545d1bcc440e0,Foot Locker Default Link,214.983,2149.83,link_share,Foot Locker,9/7/2014,4606067
545d1bcc440e0,WhiteHouseBlackMarket.com,218.969,4379.38,link_share,Foot Locker,9/8/2014,4534293
545d1bcc440e0,Chico's.com,222.955,2229.55,link_share,Foot Locker,9/9/2014,4792850
545d1bcc440e0,Shop AnnTaylor.com,226.941,1134.705,link_share,Foot Locker,9/10/2014,4685375
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",230.927,2099.336364,Amazon,Foot Locker,9/11/2014,4685797
545d1bcc440e0,Shop StarbucksStore.com!,234.913,2349.13,Amazon,Nike,9/12/2014,4538910
545d1bcc440e0,Shop StarbucksStore.com!,238.899,4777.98,Amazon,Nike,9/13/2014,4785682
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",242.885,2428.85,commission_junction,Nike,9/14/2014,4586641
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",246.871,1234.355,commission_junction,Nike,9/15/2014,4583533
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",250.857,2280.518182,flex_offers,Go Daddy,9/16/2014,4610925
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",254.843,2548.43,flex_offers,Go Daddy,9/17/2014,4991767
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",258.829,5176.58,flex_offers,Go Daddy,9/18/2014,4873497
545d1bcc440e0,NORDSTROM,262.815,2628.15,flex_offers,Go Daddy,9/19/2014,4749367
545d1bcc440e0,NORDSTROM,266.801,1334.005,flex_offers,Go Daddy,9/20/2014,4784092
545d1bcc440e0,NORDSTROM,270.787,2461.7,flex_offers,Nordstrom,9/21/2014,4611359
545d1bcc440e0,NORDSTROM,274.773,2747.73,flex_offers,Nordstrom,9/22/2014,4534577
545d1bcc440e0,NORDSTROM,278.759,5575.18,flex_offers,Nordstrom,9/23/2014,4507585
545d1bcc440e0,NORDSTROM,282.745,2827.45,flex_offers,Nordstrom,9/24/2014,4870505
545d1bcc440e0,NORDSTROM,286.731,1433.655,flex_offers,Nordstrom,9/25/2014,4935150
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",290.717,2642.881818,flex_offers,Nordstrom,9/26/2014,4758626
545d1bcc440e0,NORDSTROM,294.703,2947.03,flex_offers,Nordstrom,9/27/2014,4817666
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,298.689,5973.78,flex_offers,Nordstrom,9/28/2014,4737502
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,302.675,3026.75,flex_offers,Nordstrom,9/29/2014,4746738
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,306.661,1533.305,flex_offers,FTD,9/30/2014,4635598
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,310.647,2824.063636,flex_offers,FTD,10/1/2014,4908042
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",314.633,3146.33,link_share,FTD,10/2/2014,4667316
545d1bcc440e0,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,318.619,6372.38,link_share,FTD,10/3/2014,4528784
545d1bcc440e0,Nine West &quot;Neo Geo&quot; Medium Satchel,322.605,3226.05,link_share,Foot Locker,10/4/2014,4647723
545d1bcc440e0,Foot Locker Default Link,326.591,1632.955,link_share,Foot Locker,10/5/2014,4598697
545d1bcc440e0,WhiteHouseBlackMarket.com,330.577,3005.245455,link_share,Foot Locker,10/6/2014,4942884
545d1bcc440e0,Chico's.com,334.563,3345.63,link_share,Foot Locker,10/7/2014,4606821
545d1bcc440e0,Shop AnnTaylor.com,338.549,6770.98,link_share,Foot Locker,10/8/2014,4989306
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",342.535,3425.35,Amazon,Foot Locker,10/9/2014,4591132
545d1bcc440e0,Shop StarbucksStore.com!,346.521,1732.605,Amazon,Nike,10/10/2014,4778668
545d1bcc440e0,Shop StarbucksStore.com!,350.507,3186.427273,Amazon,Nike,10/11/2014,4744909
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",354.493,3544.93,commission_junction,Nike,10/12/2014,4577643
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",358.479,7169.58,commission_junction,Nike,10/13/2014,4872838
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",362.465,3624.65,flex_offers,Go Daddy,10/14/2014,4788408
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",366.451,1832.255,flex_offers,Go Daddy,10/15/2014,4623925
545d1bcc440e0,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",370.437,3367.609091,flex_offers,Go Daddy,10/16/2014,4735035
545d1bcc440e0,NORDSTROM,374.423,3744.23,flex_offers,Go Daddy,10/17/2014,4501026
545d1bcc440e0,NORDSTROM,378.409,7568.18,flex_offers,Go Daddy,10/18/2014,4664192
545d1bcc440e0,NORDSTROM,382.395,3823.95,flex_offers,Nordstrom,10/19/2014,4774042
