Subtracking,Product Name,Merchant Sale Amount,Cash back,AN,Advertiser Name, Date ,transaction_id
525659344c44e,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",276.8181818,30.45,flex_offers,Go Daddy,11/17/2014,4739717
525659344c44e,NORDSTROM,1374.609091,151.207,flex_offers,Go Daddy,11/17/2014,4674014
525659344c44e,NORDSTROM,2461.7,270.787,flex_offers,Nordstrom,11/17/2014,4611359
525659344c44e,NORDSTROM,3548.790909,390.367,flex_offers,Nordstrom,11/17/2014,4612424
5447f18c9ca4b,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",141.6,28.32,flex_offers,Go Daddy,11/17/2014,4636359
5447f18c9ca4b,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",736.105,147.221,flex_offers,Go Daddy,11/17/2014,4886347
5447f18c9ca4b,NORDSTROM,1334.005,266.801,flex_offers,Go Daddy,11/17/2014,4784092
5447f18c9ca4b,NORDSTROM,1931.905,386.381,flex_offers,Nordstrom,11/17/2014,4807822
5469d8955a415,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",359.3,35.93,flex_offers,Go Daddy,11/17/2014,4843364
5469d8955a415,NORDSTROM,1551.93,155.193,flex_offers,Go Daddy,11/17/2014,4535022
5469d8955a415,NORDSTROM,2747.73,274.773,flex_offers,Nordstrom,11/17/2014,4534577
5469d8955a415,NORDSTROM,3943.53,394.353,flex_offers,Nordstrom,11/17/2014,4814309
5469de4e711c1,NORDSTROM,795.6,39.78,flex_offers,Go Daddy,11/17/2014,4633590
5469de4e711c1,NORDSTROM,3183.58,159.179,flex_offers,Nordstrom,11/17/2014,4648424
5469de4e711c1,NORDSTROM,5575.18,278.759,flex_offers,Nordstrom,11/17/2014,4507585
5469de4e711c1,NORDSTROM,7966.78,398.339,flex_offers,Nordstrom,11/17/2014,4556654
5469dec412a6c,NORDSTROM,435.85,43.585,flex_offers,Go Daddy,11/17/2014,4661608
5469dec412a6c,NORDSTROM,1631.65,163.165,flex_offers,Nordstrom,11/17/2014,4836583
5469dec412a6c,NORDSTROM,2827.45,282.745,flex_offers,Nordstrom,11/17/2014,4870505
5469dec412a6c,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",4023.25,402.325,flex_offers,Nordstrom,11/17/2014,4616247
5469e10ebe6c3,NORDSTROM,237.855,47.571,flex_offers,Nordstrom,11/17/2014,4610897
5469e10ebe6c3,NORDSTROM,835.755,167.151,flex_offers,Nordstrom,11/17/2014,4559495
5469e10ebe6c3,NORDSTROM,1433.655,286.731,flex_offers,Nordstrom,11/17/2014,4935150
5469e10ebe6c3,NORDSTROM,2031.555,406.311,flex_offers,Nordstrom,11/17/2014,4772594
5469e2db7a86e,NORDSTROM,468.7,51.557,flex_offers,Nordstrom,11/17/2014,4762508
5469e2db7a86e,NORDSTROM,1555.790909,171.137,flex_offers,Nordstrom,11/17/2014,4751692
5469e2db7a86e,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2642.881818,290.717,flex_offers,Nordstrom,11/17/2014,4758626
5469e2db7a86e,Nine West &quot;Neo Geo&quot; Medium Satchel,3729.972727,410.297,flex_offers,Nordstrom,11/17/2014,4875443
5469e405ed838,NORDSTROM,1190.58,59.529,flex_offers,Nordstrom,11/17/2014,4655318
5469e405ed838,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3582.18,179.109,flex_offers,Nordstrom,11/17/2014,4815109
5469e405ed838,Nine West &quot;Neo Geo&quot; Medium Satchel,5973.78,298.689,flex_offers,Nordstrom,11/17/2014,4737502
5469e405ed838,Nine West &quot;Neo Geo&quot; Medium Satchel,8365.38,418.269,flex_offers,FTD,11/17/2014,4886152
5469e7db16a3b,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",337.505,67.501,flex_offers,Nordstrom,11/17/2014,4789280
5469e7db16a3b,Nine West &quot;Neo Geo&quot; Medium Satchel,935.405,187.081,flex_offers,Nordstrom,11/17/2014,4990159
5469e7db16a3b,Nine West &quot;Neo Geo&quot; Medium Satchel,1533.305,306.661,flex_offers,FTD,11/17/2014,4635598
5469e7db16a3b,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2131.205,426.241,link_share,FTD,11/17/2014,4594232
546a0f1e18e32,NORDSTROM,649.8818182,71.487,flex_offers,Nordstrom,11/17/2014,4844059
